"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA6661722"	"PRJEB37726"	"ERR4017942"	"UC12-12"	"UC12-12"	"ERS4421181"	2020-06-09	2020-04-11	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1101"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/002/ERR4017942/ERR4017942_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/002/ERR4017942/ERR4017942_2.fastq.gz"	"18195979831;21200990407"	"818b384816f44c7b1879294fd37bd299;0d2e65636f7a46edf753df2e68dd8a5b"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/002/ERR4017942/ERR4017942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/002/ERR4017942/ERR4017942_2.fastq.gz"	285113997	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017942/SC79_L1101_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017942/SC79_L1101_S1_L001_R2_001.fastq.gz"
"SAMEA6661723"	"PRJEB37726"	"ERR4017943"	"UC12-20"	"UC12-20"	"ERS4421182"	2020-06-09	2020-04-11	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1098"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/003/ERR4017943/ERR4017943_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/003/ERR4017943/ERR4017943_2.fastq.gz"	"21442269968;25176456374"	"4ee354658dbb1763bbb7392cbeb40d97;cf2070b93fd83c8b2debb1b25de58aca"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/003/ERR4017943/ERR4017943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/003/ERR4017943/ERR4017943_2.fastq.gz"	335210217	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017943/SC79_L1098_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017943/SC79_L1098_S1_L001_R2_001.fastq.gz"
"SAMEA6661724"	"PRJEB37726"	"ERR4017944"	"UC12-24"	"UC12-24"	"ERS4421183"	2020-06-09	2020-04-11	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1096"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/004/ERR4017944/ERR4017944_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/004/ERR4017944/ERR4017944_2.fastq.gz"	"18392091676;21164798356"	"8c7a2105a5d34c1160ea68cc6c459a7f;9365adbf8f8538a7a63631f1b3e56bda"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/004/ERR4017944/ERR4017944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/004/ERR4017944/ERR4017944_2.fastq.gz"	283637918	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017944/SC79-L1096_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017944/SC79-L1096_S1_L001_R2_001.fastq.gz"
"SAMEA6661725"	"PRJEB37726"	"ERR4017945"	"UC12-25"	"UC12-25"	"ERS4421184"	2020-06-09	2020-06-17	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1097"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/005/ERR4017945/ERR4017945_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/005/ERR4017945/ERR4017945_2.fastq.gz"	"22089128730;24651620181"	"0f837adfda221d2330b1262e74cdc070;492f30ce847b5fc6e5a1d16ddc208f0d"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/005/ERR4017945/ERR4017945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/005/ERR4017945/ERR4017945_2.fastq.gz"	346753602	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017945/SC79_L1097_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017945/SC79_L1097_S1_L001_R2_001.fastq.gz"
"SAMEA6661726"	"PRJEB37726"	"ERR4017946"	"UC8-8168"	"UC8-8168"	"ERS4421185"	2020-06-09	2020-04-12	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1099"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/006/ERR4017946/ERR4017946_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/006/ERR4017946/ERR4017946_2.fastq.gz"	"16428825487;18295596682"	"c931ada4db74d678bc82e71dad544556;e648c62aaad77dd722f482cfd6f68d0e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/006/ERR4017946/ERR4017946_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/006/ERR4017946/ERR4017946_2.fastq.gz"	255728754	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017946/SC79_L1099_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017946/SC79_L1099_S1_L001_R2_001.fastq.gz"
"SAMEA6661727"	"PRJEB37726"	"ERR4017947"	"UC8-8173"	"UC8-8173"	"ERS4421186"	2020-06-09	2020-04-12	"HiSeq X Ten"	"PAIRED"	"GENOMIC"	"ILLUMINA"	"SC79-L1095"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/007/ERR4017947/ERR4017947_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR401/007/ERR4017947/ERR4017947_2.fastq.gz"	"16681617207;18401697583"	"213949033a5b35f2eb0d02dbcd04632b;b8768919aac31ebd655b5320537aadd3"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/007/ERR4017947/ERR4017947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR401/007/ERR4017947/ERR4017947_2.fastq.gz"	257026318	"ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017947/SC79-L1095_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR401/ERR4017947/SC79-L1095_S1_L001_R2_001.fastq.gz"
