"sample_accession"	"study_accession"	"run_accession"	"sample_alias"	"Poseidon_ID"	"Library_Built"	"UDG"	"secondary_sample_accession"	"first_public"	"last_updated"	"instrument_model"	"library_layout"	"library_source"	"instrument_platform"	"library_name"	"library_strategy"	"fastq_aspera"	"fastq_bytes"	"fastq_md5"	"fastq_ftp"	"read_count"	"submitted_ftp"
"SAMEA5330334"	"PRJEB31152"	"ERR3148630"	"TU44"				"ERS3136528"	2019-04-09	2019-02-11	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR314/000/ERR3148630/ERR3148630.fastq.gz"	9244017	"ad699c0c51b9717fc1d5fbc8c75a01fe"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR314/000/ERR3148630/ERR3148630.fastq.gz"	231485	"ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148630/TU44.mapped.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148630/TU44.mapped.rmdup.q30.bam.bai"
"SAMEA5330335"	"PRJEB31152"	"ERR3148631"	"TU45"				"ERS3136529"	2019-04-09	2019-02-11	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR314/001/ERR3148631/ERR3148631.fastq.gz"	65630205	"fbc9f05eb61a88a791ae581171ad7f3c"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR314/001/ERR3148631/ERR3148631.fastq.gz"	1363113	"ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148631/TU45.mapped.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148631/TU45.mapped.rmdup.q30.bam.bai"
"SAMEA5330336"	"PRJEB31152"	"ERR3148632"	"BKZ001.C0101"				"ERS3136530"	2019-04-09	2019-02-11	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR314/002/ERR3148632/ERR3148632.fastq.gz"	20621406	"3bd99b27dbfa851843c569fc2cd25b6a"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR314/002/ERR3148632/ERR3148632.fastq.gz"	523820	"ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148632/BKZ001.C0101.mapped.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148632/BKZ001.C0101.mapped.rmdup.q30.bam.bai"
"SAMEA5330337"	"PRJEB31152"	"ERR3148633"	"BKZ002.A0101"				"ERS3136531"	2019-04-09	2019-02-11	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"unspecified"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR314/003/ERR3148633/ERR3148633.fastq.gz"	196049797	"a7f27f2ac79725c588f0cf7a5a2474d1"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR314/003/ERR3148633/ERR3148633.fastq.gz"	5275268	"ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148633/BKZ002.A0101.mapped.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR314/ERR3148633/BKZ002.A0101.mapped.rmdup.q30.bam.bai"
"SAMEA5722104"	"PRJEB31152"	"ERR3380195"	"TU44.merged"				"ERS3525724"	2019-06-18	2019-06-18	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"TU44"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR338/005/ERR3380195/ERR3380195.fastq.gz"	26786714	"f3f53c7d852ba787dde2d1937594073e"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR338/005/ERR3380195/ERR3380195.fastq.gz"	671332	"ftp.sra.ebi.ac.uk/vol1/run/ERR338/ERR3380195/TU44.perlib.merged.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR338/ERR3380195/TU44.perlib.merged.rmdup.q30.bam.bai"
"SAMEA5722105"	"PRJEB31152"	"ERR3380196"	"TU45.merged"				"ERS3525725"	2019-06-18	2019-06-18	"Illumina HiSeq 4000"	"SINGLE"	"GENOMIC"	"ILLUMINA"	"TU45"	"WGS"	"fasp.sra.ebi.ac.uk:/vol1/fastq/ERR338/006/ERR3380196/ERR3380196.fastq.gz"	227068125	"eca899fec3fb32d07253600c26259ef6"	"ftp.sra.ebi.ac.uk/vol1/fastq/ERR338/006/ERR3380196/ERR3380196.fastq.gz"	5318146	"ftp.sra.ebi.ac.uk/vol1/run/ERR338/ERR3380196/TU45.perlib.merged.rmdup.q30.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR338/ERR3380196/TU45.perlib.merged.rmdup.q30.bam.bai"
